炒乌药,90.0,90.0,0.0
活贯众,60.0,60.0,0.0
蛇蜕皮,45.0,15.0,30.0
苍耳,120.0,9.0,111.0
槐胶,45.0,45.0,0.0
鬼箭,30.0,30.0,0.0
茴香子,30.0,30.0,0.0
南木香,6.0,3.0,3.0
羊脂,15.0,15.0,0.0
生乌犀,15.0,15.0,0.0
红豆,2.0,2.0,0.0
陈红茶,240.0,240.0,0.0
鹅不食草,90.0,90.0,0.0
苦桔梗,9.0,3.0,6.0
赤土,75.0,15.0,60.0
皮消,15.0,15.0,0.0
桂心,120.0,1.2,118.8
白茅根,15.0,15.0,0.0
蔓荆子,2500.0,0.9,2499.1
覆盆子,60.0,15.0,45.0
云母粉,45.0,30.0,15.0
萆薢,600.0,0.9,599.1
炙甘草,90.0,0.9,89.1
净全蝎,7.5,7.5,0.0
川姜,7.5,7.5,0.0
蒙花,15000.0,125.0,14875.0
糯米,30.0,30.0,0.0
大茄根,120.0,120.0,0.0
当归尾,60.0,1.2,58.8
瓜蒌仁,6.0,3.0,3.0
香薷,90.0,30.0,60.0
尾,30.0,30.0,0.0
辛荑,90.0,60.0,30.0
草龙胆,180.0,12.0,168.0
皂角刺,30.0,1.5,28.5
皂荚子,10.0,1.2,8.8
川贝,90.0,6.0,84.0
茼子,15.0,15.0,0.0
归尾,45.0,1.5,43.5
牙皂,120.0,3.0,117.0
马钱子,1240.0,0.9,1239.1
头发,30.0,30.0,0.0
白僵蚕,90.0,0.9,89.1
鲜葱白,4.0,4.0,0.0
山楂,500.0,3.0,497.0
茅香,15.0,6.0,9.0
吴白芷,30.0,15.0,15.0
天南星,90.0,1.0,89.0
韭菜,2.0,2.0,0.0
鹅脂,900.0,30.0,870.0
地风,90.0,90.0,0.0
生杭芍,6.0,6.0,0.0
五月雄小乌豆,15.0,15.0,0.0
建神曲,1200.0,1200.0,0.0
银环蛇,5.0,5.0,0.0
川续断,120.0,3.0,117.0
革薜,30.0,30.0,0.0
当归,30000.0,0.9,29999.1
粉甘草,60.0,60.0,0.0
白鲜皮,180.0,1.5,178.5
玄胡,90.0,90.0,0.0
薏似仁,60.0,60.0,0.0
草乌头,210.0,4.5,205.5
鲤鱼胆,7.0,5.0,2.0
二蚕沙,15.0,15.0,0.0
鸡子壳,6.0,6.0,0.0
威灵仙,2500.0,1.5,2498.5
黄荆子,9.0,9.0,0.0
炒枳壳,3.0,3.0,0.0
射干,1000.0,2.1,997.9
五味子,12500.0,0.6,12499.4
白檀香,30.0,30.0,0.0
延胡,21.0,21.0,0.0
白芷,15000.0,0.3,14999.7
骨碎补,300.0,6.0,294.0
全蝉蜕,12.0,12.0,0.0
干金子,15.0,15.0,0.0
旋覆花,500.0,1.5,498.5
大枫子,600.0,15.0,585.0
晚蚕沙,120.0,45.0,75.0
制僵蚕,10.0,10.0,0.0
生川乌,21.0,21.0,0.0
川贝母,45.0,6.0,39.0
泽兰叶,12.0,1.5,10.5
补骨脂,90.0,0.9,89.1
胆草,1000.0,3.0,997.0
薏米仁,120.0,6.0,114.0
枯矾,15.0,3.0,12.0
五灵脂,75.0,1.5,73.5
丁香,90.0,3.0,87.0
绿豆皮,9.0,9.0,0.0
橘梗,6.0,6.0,0.0
茯苓片,240.0,240.0,0.0
牵牛子,250.0,12.0,238.0
独支当归,12.0,12.0,0.0
皂荚10挺,60.0,60.0,0.0
赤芍,1500.0,0.3,1499.7
银箔,70.0,50.0,20.0
藿香,600.0,1.5,598.5
白扁豆,75.0,60.0,15.0
熟大梅,100.0,100.0,0.0
山栀子,360.0,3.0,357.0
白豆蔻,60.0,0.6,59.4
菜花蛇蜕,15.0,15.0,0.0
翻白草,3.0,3.0,0.0
淫羊藿,120.0,0.9,119.1
麻仁,300.0,3.0,297.0
白檀,3.0,3.0,0.0
麻黄,600.0,0.6,599.4
白芍,310.0,1.5,308.5
真石乳,15.0,15.0,0.0
黍粘,3.0,3.0,0.0
香橼,30.0,30.0,0.0
川楝子,5000.0,30.0,4970.0
灵仙,75.0,6.0,69.0
透骨草,45.0,9.0,36.0
扁豆,150.0,4.5,145.5
豉,30.0,30.0,0.0
嘉蚕,45.0,45.0,0.0
冬桑叶,9.0,9.0,0.0
青蒿,30.0,30.0,0.0
新罗禹白附,30.0,30.0,0.0
麝香少许,3.0,3.0,0.0
银花,120.0,1.5,118.5
胆矾,9.0,0.09,8.91
麒麟竭,30.0,30.0,0.0
胡粉,120.0,120.0,0.0
桂枝,310.0,0.9,309.1
大青叶,3000.0,9.0,2991.0
蒴藋根,60.0,60.0,0.0
山茱萸,90.0,0.6,89.4
蔓荆实,90.0,0.9,89.1
生黄芩,1.5,1.5,0.0
生黄芪,310.0,4.5,305.5
杜仲,210.0,2.5,207.5
广郁金,15.0,6.0,9.0
黍粘子,3.0,3.0,0.0
黄芩,3000.0,0.75,2999.25
东珍珠,6.0,6.0,0.0
旱莲草,20.0,20.0,0.0
天虫,30.0,30.0,0.0
杏仁,250.0,1.5,248.5
车前,30.0,30.0,0.0
百合,60.0,3.0,57.0
牛蒡,4.5,2.4,2.1
大青梅,20.0,20.0,0.0
羊子肝,120.0,120.0,0.0
龙齿,60.0,3.0,57.0
紫荆皮,60.0,6.0,54.0
仙遗粮,120.0,120.0,0.0
蚕砂,60.0,60.0,0.0
炮穿山甲,12.0,12.0,0.0
鹿角灰,6.0,6.0,0.0
鲜生姜,3.0,3.0,0.0
铜绿,15.0,0.3,14.7
远志肉,6.0,6.0,0.0
青防风,60.0,6.0,54.0
乳香,500.0,1.5,498.5
甘草,12500.0,0.3,12499.7
竹节香附,600.0,15.0,585.0
斑鸠,1.0,1.0,0.0
皂荚子仁,50.0,50.0,0.0
黑牵牛,120.0,24.0,96.0
青藤根,30.0,30.0,0.0
艾叶,62.0,3.0,59.0
神曲末,0.6,0.6,0.0
川附,60.0,60.0,0.0
蔓青子,15.0,15.0,0.0
清风藤,21.0,21.0,0.0
贝母蒺藜子,7.5,7.5,0.0
草果仁,30.0,30.0,0.0
淡黄芩,24.0,24.0,0.0
川乌,150.0,1.0,149.0
风仙透骨草,125.0,125.0,0.0
草节,1.5,1.5,0.0
芙蓉叶,30.0,30.0,0.0
白牵牛,90.0,3.0,87.0
草果,120.0,120.0,0.0
法制半夏,9.0,9.0,0.0
槐子,45.0,22.5,22.5
狼毒,30.0,30.0,0.0
紫花地丁,180.0,12.0,168.0
川乌头,1200.0,9.0,1191.0
地龙肉,150.0,150.0,0.0
缩砂仁,60.0,60.0,0.0
东牛黄,1.5,1.5,0.0
萆麻,15.0,15.0,0.0
血琥珀,9.0,9.0,0.0
羌活五味子,6.0,6.0,0.0
怀生地,3.0,3.0,0.0
炒白芍,60.0,3.0,57.0
柏枝,120.0,90.0,30.0
椿根皮,30.0,30.0,0.0
制半夏,60.0,9.0,51.0
茺蔚,30.0,30.0,0.0
蓖麻子,30.0,30.0,0.0
巴豆,30.0,7.5,22.5
猪牙皂荚,45.0,3.0,42.0
贯仲,60.0,6.0,54.0
山奈,3.0,3.0,0.0
柴胡,1500.0,0.6,1499.4
钟乳粉,120.0,15.0,105.0
桑根白皮,90.0,22.5,67.5
前胡,500.0,0.75,499.25
斑蝥,3.0,3.0,0.0
麻子仁,1.5,1.5,0.0
岗稔根,30.0,30.0,0.0
蛇含石,24.0,24.0,0.0
酒黄连,13.5,9.0,4.5
玄参,3000.0,1.5,2998.5
秦艽,120.0,0.9,119.1
鲜萆麻,240.0,240.0,0.0
怀牛膝,18.0,6.0,12.0
大枫肉,1000.0,90.0,910.0
椿皮,90.0,90.0,0.0
井泉石,30.0,15.0,15.0
半夏,135.0,0.3,134.7
明党参,9.0,9.0,0.0
柴胡羌活,4.5,4.5,0.0
陈皮葛根,60.0,60.0,0.0
山栀炭,60.0,60.0,0.0
酒黄柏,30.0,2.1,27.9
京三,0.6,0.6,0.0
钩藤,75.0,0.0,75.0
广木香,90.0,6.0,84.0
豨莶草,120.0,6.0,114.0
蒴藿叶,60.0,60.0,0.0
兔肝,60.0,1.0,59.0
全虫,120.0,120.0,0.0
原蚕蛾,30.0,30.0,0.0
樟丹,9.0,9.0,0.0
茱萸,15.0,15.0,0.0
鲜生地,120.0,6.0,114.0
茜根,22.5,22.5,0.0
母丁香,300.0,30.0,270.0
炙乳香,9.0,9.0,0.0
石决明,90.0,1.8,88.2
苦杏仁,12500.0,80.0,12420.0
茯苓炙甘草,120.0,120.0,0.0
杏仁炭,250.0,250.0,0.0
乌喙,60.0,37.5,22.5
生地黄,12800.0,0.9,12799.1
蛇黄,30.0,30.0,0.0
牛蒡子,3000.0,0.9,2999.1
鲜薄荷,240.0,240.0,0.0
蒺藜子,180.0,15.0,165.0
柳枝,30.0,7.0,23.0
蛜？,7.5,7.5,0.0
紫草,120.0,15.0,105.0
水粉,120.0,120.0,0.0
