草乌,细辛,防风各等分
防风30g,五灵脂,川乌头(炮，去皮)各60g
萆薢,防风,狗脊(去毛),乌头(去皮、脐，生用)各等分
防己9g,桂枝10g,防风9g,甘草10g
乌雌鸡肉(炙干)75g,桂(去粗皮)52．5g,细辛(去苗叶)90g,防风(去叉，锉)7．5g,干姜(炮)75g
附子(炮裂，去皮、脐)30g,黄芪120g,甘草(炙，锉)15g,麻黄(去根、节，煎，掠去沫，焙)150g,防风(去叉)15g
白术,附子(熟),甘草,防风各30g,桂90g,茯苓15g
淫羊藿60g,虎胫骨60g(涂酥，炙令黄),附子60g(炮裂，去皮、脐),防风60g,踯躅花60g(醋拌炒令干),牛膝60g
白芥子30g,防风22．5g,安息香30g,沉香15g,补骨脂30g(炒),槟榔15g
羌活,肉桂各30g,附子(炮裂，去皮、脐),当归(切，焙),防风(去叉),牛膝(jiu浸，切，焙)各22g
羌活,独活,柴胡,防风,肉桂,当归
附子30g(炮裂，去皮、脐),川乌头30g(炮裂，去皮、脐),天雄30g(炮裂，去皮、脐),桂心45g,干姜45g(炮裂，锉),防风45g,槟榔75g
苍耳子30g,樟木子30g,樟木皮30g,防风30g,薄荷30g,黄柏120g,苍术90g
羌活,独活,防风,当归,牛膝,黄柏,肉桂,白芍药各等分
地龙(去土，炒),五灵脂(炒),威灵仙,防风(去芦),马钱子(去壳),草乌头各30g(炒),白胶香(另研),乳香(另研)各9g
人参30g,白术120g,桂(去粗皮),防己,甘草(炙，锉)各90g,乌头(炮裂，去皮、脐)7枚,防风(去叉)22．5g,赤茯苓(去黑皮)60g
川羌活12g,左秦艽9g,海风藤12g,宣木瓜12g,五加皮12g,川续断12g,软防风12g　北细辛2g,,
牛膝(jiu浸),革薜,杜仲(炒，去丝),苁蓉(jiu浸),防风,菟丝子(jiu浸),白蒺藜各等分,桂枝减半
乌头(炮裂，去皮、脐),地龙(炒),羌活(去芦头),虎骨(酒炙),延胡索,当归(切，焙),没药(研),防风(去叉)各30g
防风,桂心,知母各12g,白术,生姜各15g,芍药,甘草各9g(炙),附子6g(炮)
黄芪,附子,甘草,苍术,陈皮,羌活,防风,桔梗各等分
白术,茯苓,防风各15g,巴戟天9g,肉桂3g,桂枝2．4g,天花粉,黄芪各6g
当归,川芎,芍药,熟地,防风各30g,白术60g,羌活15g,苍术2．5kg(米泔浸三日，去外粗皮，切片，同Cangervcao捣碎，用水煎取浓汁，去滓熬膏后入mi500g5再滚数沸，瓷器内收贮)
五加皮60g,杜仲120g(去粗皮，炙微黄，锉),萆薢60g(锉),狗脊60g(去毛),阿胶60g(捣碎，炒令黄焦),防风60g(去芦头),川芎90g,细辛30g,杏仁60g(汤浸，去皮、尖、双仁，麸炒微黄)
乌梢蛇90g(jiu浸，炙微黄，去皮、骨),天南星30g(炮裂),干蝎30g(微炒),禹白附30g(炮裂),羌活30g,白僵蚕30g(微炒),麻黄60g　(去根、节),防风22．5g(去芦头),桂心30g
生地黄15g,郁李仁15g(汤浸，去皮、尖，微炒),牛膝,防风,桂心,海桐皮,羌活,白茯苓,薏苡仁各7．5g
防风,当归,赤茯苓,杏仁,秦艽,葛根,羌活,桂枝,甘草
苍术15g,羌活9g,防风9g,防己9g,木瓜9g,怀牛膝9g,肉桂3g,茯苓6g,甘草梢3g
羌活,防风各3g,秦艽,川断各6g,威灵仙,全当归各6g,明乳香,净没药,杜红花各1．5g
附子90g(炮，去皮、脐),当归(去土，洗，切),黄芪(炙),白芍药各60g,川芎(不见火),防风(去芦),白术各45g,肉桂(去粗皮，不见火)30g,茯苓,熟地黄(洗净，用少许酒熬令干，焙)各23g
防风,荆芥,川芎,甘草各3g,当归(酒洗),黄柏各6g,苍术,牡丹皮,花椒各9g,苦参15g
羌活,升麻各3g,独活2.1g,苍术,防风(去芦),威灵仙(去芦),白术,当归,白茯苓(去皮),泽泻各1.5g
五灵脂,荆芥穗,防风,羌活,独活,甘草节,穿山甲,骨碎补,草乌各15g,麝香少许
附子(炮，去皮),白术,甘草,当归(焙),防风,桂枝,薏仁各30g,乳香,没药,茯苓各15g
枳壳,桔梗各2．4g,防风,乌药,当归,杏仁,半夏,木通各3g,甘草,红花各1．5g
羌活,防风,熟地,当归,芍药,川芎,桃仁,牛膝,黄芩,黄柏
防风(去叉),甘草(炙，锉)各30g　黄芩(去黑心)22．5g,当归(切，焙),赤茯苓各30g,秦艽,葛根(锉)各22．5g,桂,杏仁(jiu浸，去皮、尖、双仁，炒)各30g,麻黄(去根、节，煎掠去沫，焙)15g
没药30g,独活30g,虎胫骨60g(涂酥，炙令黄),晚蚕沙45g(微炒),川芎45g,防风30g,蔓荆子30g,当归30g,赤芍药30g,桂心30g
生地黄,当归(锉，微炒),防风,酸枣仁(微炒),赤茯苓,黄芪(锉),川芎,羚羊角屑,羌活,炙甘草(锉),桂心各15g
芍药,熟地黄(焙),当归(切，焙)各60g,防风,秦艽,羌活,防己,川芎,白术各30g,桂,甘草(炙)各22.5g
