黄芩,大黄,防风,薄荷各15g
龙胆草,防风,生甘草,细辛各3g
当归,防风苗(泡),蒺藜(炒),牡丹皮各等分
羌活,防风,柴胡,甘草(炒)各500g
车前子,羚羊角屑,防风,菟丝子(jiu浸三日，晒干，别捣为末)各30g,决明子45g
石膏15g(煅),栀子30g(生),"生甘
草9g",防风60g(酒拌抄),豨莶草120g(酒润晒干)
甘菊花120g,防风(去叉)60g,蒺藜子(炒，去角),恶实(炒)各30g,甘草(炙，锉)15g
白薇15g,防风,白蒺藜(去角，炒),石榴皮,羌活各9g
防风,龙胆草各15g,铜青9g,五倍子6g,淡竹叶1握
干山药,生地黄,人参,茯苓,防风,泽泻各30g
木通(锉)45g,防风(去叉)30g,赤芍药45g,白芷22．5g,山栀子仁30g,大黄(锉，炒)45g
冰片7．5g,秦皮,防风,细辛,甘草,宣黄连各45g
地黄1kg,杏仁250g(去皮、尖),金钗石斛,牛膝,防风,枳壳各120g
细辛0．6g,川芎,蔓荆子各1．5g,甘草,白芷各3g,防风4.5g
防风,冰片,牡蛎各60g,五味子,白芷,细辛各30g
羌活,山栀子仁(炒),防风各7．5g,甘草10g,白蒺藜(炒，去尖),菊花各15g
夜明砂,木贼,防风,田螺壳,青木香,细辛各等分
黄芩,黄连,防风,山栀子各30g,大黄,甘草(炙)各15g
山药,防风(去叉),细辛(去苗叶)各30g,山茱萸,蔓荆实(去白皮)各22．5g,芍药升麻各15g
升麻,山茱萸各22．5g,甘菊花,细辛(去苗叶)各15g,蔓荆实(去白皮),山药,防风(去叉)各30g
石膏,石决明(煅),荆芥,白芷,川芎,防风,旋覆花各等分
犀角,麻黄,防风,石决明,当归,楮实子,枸杞子各等分
干生地500g,干熟地500g,石斛,防风,枳壳(炒),牛膝(酒洗),杏仁(泡，去皮、尖，麸炒黄，入瓦器研去油)各120g
赤芍药45g,羚羊角(镑),玄参,防风,黄芩各30g,蔓荆实,甘菊花各o．9g
防风,黄连,谷精草,黄芩(去黑心),甘草(炙，锉),天南星(炮)各30g,蛤粉4g
木贼,苍术,白蒺藜,防风,羌活,川芎,甘草各等分
当归(焙),冰片(焙),川芎,山栀子仁,川大黄(湿纸裹煨),羌活,防风(焙)各等分
大黄,山栀子,防风,薄荷,川芎,羌活,甘草各等分
白蒺藜(炒，去尖),防风,粉草(炙),木贼,山栀(炒，去壳)各15g,草决明30g(炒),青葙子7．5g(微炒),蝉蜕7．5g
细辛,何首乌,乌药各30g,川乌(炮),淮乌(炮),五月雄小乌豆,防风,粉草(炙)各15g
地骨皮,茺蔚子各45g,防风,黄芩(去黑心),玄参,大黄(锉，炒),细辛各30g,芒硝60g
防风,决明子,人参,车前子各45g,黄连,菊花,槐实(炒),蓝实各30g
菊花(炒),羌活,防风,蝉蜕(去足翅),蒺藜(炒),川芎,当归,甘草(炙)
芍药,细辛,桔梗,车前子,人参,茯苓各30g,羌活,防风各60g
石决明,细辛,知母,生地黄,防风各30g,兔肝一具(炙),五味子,人参各75g
石决明(捣细，研，水飞过),车前子,人参,甘菊花,槐子,熟地黄各30g,茺蔚子60g,防风60g
车前子,知母,茺蔚子,人参,防风,黑参各6g,黄芩4．5g,茯苓6g
木贼30g,防风18g,柴胡18g,青葙子24g,蝉蜕30g,黄芩18g,菊花24g,车前子24g
知母,茺蔚子各30g,防风,细辛各45g,桔梗,大黄,茯苓,芒硝各45g
黄芪45g,防风,远志,地骨皮,人参,茯苓,大黄各30g,知母60g
白蒺藜(炒去刺),当归,熟地黄各60g,川芎,白芍,木贼,防风,羌活各30g,香附(童便制)60g
石决明60g,细辛15g,桔梗,防风,茺蔚子,车前子,茯苓,山药,玄参各60g
石决明(刮洗),车前子,细辛,人参,白茯苓,柏子仁(炒，别捣),防风各30g,山药,茺蔚子各60g
石决明3g,人参3g,茯苓3g,车前子3g,细辛1．5g,防风6g,大黄3g,茺蔚子6g,桔梗4．5g
当归,川芎,白芍药,熟地黄,羌活各3g,防风,防己各1．5g,黄连(jiu浸一宿)1g　龙胆草(jiu浸一宿)1．5g
熟地黄(酒洗，九蒸九晒，焙干称)45g,黄连30g,决明子30g,没药(别研),甘菊花,防风,羌活,桂心(不见火),朱砂(水飞)各15g
石决明(刮，洗),细辛,防风,车前子,人参,白茯苓,大黄,茺蔚子各30g,桔梗(炒)15g
白乳羊肝1具(竹刀刮去膜),黄连30g,甘菊,防风,薄荷,荆芥,羌活,当归,川芎各9g
防风,远志,桔梗,羚羊角,甘草,赤芍药,细辛,人参,黄芩各等分
当归(洗，焙),川乌头(炮，去皮、尖),羌活,防风,天花粉,荆芥穗,木贼(去节)各30g,甘草15g(炙),乌贼鱼骨45g
白术(生用),菟丝子(jiu浸，另研),青葙子,防风,甘草(炙),羌活,白蒺藜(炒去尖),密蒙花,木贼(去节)各等分
远志,茺蔚子,防风,人参,干山药,五味子,茯苓,细辛各30g,车前子45g
石决明30g(捣细，研，水飞),甘菊花30g,细辛15g,熟地黄60g,人参30g,地肤子30g,五味子45g,兔肝一具(炙干),防风60g
生地黄,白茯苓,川芎,蔓荆子,熟地黄,防风,山药,白菊花,细辛各等分
防风,羚羊角,远志,桔梗,黄芩,甘草,赤芍各3g,人参,细辛各6g
黄芪,防风,茺蔚子,桔梗,大黄,黄芩,黄连,车前子,芒硝各30g
熟地黄(焙),五味子,菟丝子(jiu浸一宿，别捣),蕤仁(去皮，研),车前子各30g,细辛(去苗叶),甘草(炙，锉),防风(去叉),白茯苓(去黑皮),柏子仁(研)各15g
黄柏,知母,木通,栀子,生地黄,甘草,黑参,桔梗,黄芩,防风
防风,木贼草,密蒙花,蝉蜕,蔓荆子,龙胆草,菊花,黄连,白芷,蒺藜
龙胆草,栀子仁各6g,防风,川芎,玄参,荆芥,小茵陈,甘菊,楮实,甘草各3g
荆芥穗120g,菊花,防风,木贼(去节),白附子各90g,白蒺藜(炒．去刺)30g,粉草(灸)30g,制苍术,人参,羌活各15g
羚羊角(锉细末),薄荷,羌活,半夏(炙)各4．5g,白菊花,川乌(炮),川芎,防风,车前子各15g,细辛6g
白乳羊肝1具(以竹刀割开，去膜，蒸熟，捣如泥),甘菊花15g,黄连30g,防风,薄荷,荆芥穗,羌活,当归,生地黄各15g,川芎9g
生地黄,天冬各1．2g,川芎,牛膝,白芍药,炙甘草,白术,防风各1．5g,熟地黄,当归身各1．8g
熟地黄,当归各1．8g,川芎,牛膝,白芍药,炙草,白术,防风各1．5g,生地黄　天冬各1．2g
苍术(制),当归身,川芎,苏薄荷,黄芪,熟地黄,防风,川羌活,甘草(减半),白芍药各等分
细辛3g,防风,川芎,白鲜皮,独活,甘草,陈皮各9g,大枣7枚,甘竹叶(切)6g,白蜜15g
羚羊角4．5g,木贼草9g,蒺藜9g(研),青皮9g,泽泻6g,密蒙花6g,蛇蜕4．5g,石决明9g(生，研),防风6g,甘草3g
羌活,防风,赤芍,白芷,川芎,甘草,陈皮,枳壳,柴胡,干葛
茯苓3g,桔梗3g,茺蔚子6g,黄芩3g,防风6g,川芎3g,知母3g,黑参3g,当归身6g,人参3g
防风,车前子,木通,茺蔚子,茯苓,熟大黄,玄参,玄明粉,桔梗,黄芩(jiu炒)各等分
川芎,白术,防风,木贼,羌活,甘草,蒺藜,密蒙花,青葙子,菟丝子,当归
石决明30g,车前子30g,五味子15g,细辛15g,大黄30g,茯苓30g,知母30g,茺蔚子30g,黑参30g,防风30g,黄芩30g
防风,甘菊花各22.5g,川芎,赤芍药各15g,黄芩(去黑心)30g,羚羊角(镑)15g,细辛22.5s,枳壳(去瓤，麸炒)15g,黄连22.5g,甘草(炙)15g,石膏(碎)30g,人参15g
黄连(酒洗，炒)30g,防风,五味子,甘草,羌活,独活,当归尾(酒洗)各45g,黄柏,细辛,知母,石决明(煅存性)各30g
羌活,防风,川芎,甘草,木贼,绿豆皮,荆芥各9g,蝉蜕,谷精草,蛇蜕,鸡子壳(用内薄皮)各6g
生地黄,当归,赤芍,川芎,连翘(去心),栀子(生),龙胆草,大黄,羌活,甘草(生),防风
肉苁蓉120g(jiu浸),枸杞子120g,当归,川芎,防风各60g,菊花,楮实(焙),巴戟天(去心),荆芥穗,白蒺藜各45g,决明子(炒)30g,生地黄120g
天冬,知母,茺蔚子,防风,辽五味,茯苓,熟地黄,羌活,荆芥穗,川芎,白芍药,当归各等分
当归,川芎,芍药,生地黄各6g,羌活,防风,黄芩,龙胆草,甘菊花,黄连各4．5g,玄参,薄荷各3g
当归15g,赤芍9g,生地12g,防风9g,黄芩9g,栀子9g,牛蒡子9g(炒),连翘9g,大黄12g,白芷9g,红花9g,甘草3g
